,boat_id,Country,boat_type,year,Boat_Make,model,model_type,length_overall,yield_length,beam,draft,height,hull,engine,hp,weight,fuel_type,boat_image,active
145,4456,Sweden,Power,1997,Albin Marine,35/CS,INBD,37,,12.33333333,,,FG,1,370.0,18000,Diesel,,
146,4457,Sweden,Power,1996,Albin Marine,28 TOURNAMENT EX/SF,INBD,30,,10.0,,,FG,1,300.0,7500,Diesel,,
147,4458,Sweden,Power,1996,Albin Marine,31 TOURNAMENT EX/SF,INBD,33,,12.33333333,,,FG,1,300.0,14000,Diesel,,
148,4459,Sweden,Power,1996,Albin Marine,32 COMMAND BRIDGE/SF,INBD,34,,11.5,,,FG,1,300.0,11500,Diesel,,
149,4460,Sweden,Power,1996,Albin Marine,35 LS/SF,INBD,37,,12.33333333,,,FG,2,300.0,18000,Diesel,,
150,4461,Sweden,Power,1996,Albin Marine,35 SPORT FISH,INBD,37,,12.33333333,,,FG,2,300.0,18000,Diesel,,
151,4462,Sweden,Power,1996,Albin Marine,35 TOURNAMENT EX/SF,INBD,37,,12.75,,,FG,1,370.0,16000,Diesel,,
152,4463,Sweden,Power,1996,Albin Marine,35/CS,INBD,37,,12.33333333,,,FG,1,370.0,18000,Diesel,,
153,4464,Sweden,Power,1995,Albin Marine,GETAWAY 24,INBD,24,,8.5,,,FG,1,250.0,5200,Gasoline,,
154,4465,Sweden,Power,1995,Albin Marine,GETAWAY 24,INBD,24,,8.5,,,FG,1,170.0,5200,Diesel,,
155,4466,Sweden,Power,1995,Albin Marine,FAMILY CRUISER 27,INBD,27,,9.666666667000001,,,FG,1,216.0,6900,Diesel,,
156,4467,Sweden,Power,1995,Albin Marine,GETAWAY 27,STERN,27,,8.5,,,FG,1,216.0,5400,Gasoline,,
157,4468,Sweden,Power,1995,Albin Marine,GETAWAY 27,STERN,27,,8.5,,,FG,1,216.0,5400,Diesel,,
158,4469,Sweden,Power,1995,Albin Marine,SPORT CRUISER 27,INBD,27,,9.666666667000001,,,FG,1,216.0,6750,Diesel,,
159,4470,Sweden,Power,1995,Albin Marine,TOURNAMENT EXPRESS 28,INBD,28,,10.0,,,FG,1,340.0,7500,Gasoline,,
160,4471,Sweden,Power,1995,Albin Marine,TOURNAMENT EXPRESS 28,INBD,28,,10.0,,,FG,1,300.0,7500,Diesel,,
161,4472,Sweden,Power,1995,Albin Marine,TOURNAMENT EXPRESS 28,STERN,28,,10.0,,,FG,1,300.0,7500,Diesel,,
162,4473,Sweden,Power,1995,Albin Marine,SPORT FISH 32,INBD,32,,12.25,,,FG,2,300.0,13500,Diesel,,
163,4474,Sweden,Power,1995,Albin Marine,SPORT FISH 32,INBD,32,,12.25,,,FG,1,300.0,13500,Diesel,,
164,4475,Sweden,Power,1995,Albin Marine,M/Y CHARTER LAYOUT 34,INBD,34,,11.5,,,FG,2,300.0,14000,Diesel,,
165,4476,Sweden,Power,1995,Albin Marine,SPORT FISH SEDAN 35,INBD,35,,12.33333333,,,FG,2,340.0,17500,Gasoline,,
166,4477,Sweden,Power,1995,Albin Marine,SPORT FISH SEDAN 35,INBD,35,,12.33333333,,,FG,2,300.0,18000,Diesel,,
167,4478,Sweden,Power,1995,Albin Marine,SPORT FISH SEDAN 35,INBD,35,,12.33333333,,,FG,1,300.0,17500,Diesel,,
168,4479,Sweden,Power,1995,Albin Marine,STANDARD TRAWLER 43,INBD,43,,14.5,,,FG,2,210.0,32000,Diesel,,
169,4480,Sweden,Power,1995,Albin Marine,SUNDECK TRAWLER 43,INBD,43,,14.5,,,FG,2,210.0,32000,Diesel,,
170,4481,Sweden,Power,1995,Albin Marine,COCKPIT TRAWLER 49,INBD,49,,14.5,,,FG,2,300.0,35500,Diesel,,
171,4482,Sweden,Power,1994,Albin Marine,GETAWAY 24,INBD,24,,8.5,,,FG,1,250.0,5200,Gasoline,,
172,4483,Sweden,Power,1994,Albin Marine,GETAWAY 24,INBD,24,,8.5,,,FG,1,170.0,5200,Diesel,,
173,4484,Sweden,Power,1994,Albin Marine,27 FAMILY,INBD,27,,9.666666667000001,,,FG,1,180.0,6950,Diesel,,
174,4485,Sweden,Power,1994,Albin Marine,27 SPORT,INBD,27,,9.666666667000001,,,FG,1,180.0,6950,Diesel,,
175,4486,Sweden,Power,1994,Albin Marine,GETAWAY 27,INBD,27,,8.5,,,FG,1,250.0,5500,Gasoline,,
176,4487,Sweden,Power,1994,Albin Marine,GETAWAY 27,INBD,27,,8.5,,,FG,1,180.0,5700,Diesel,,
177,4488,Sweden,Power,1994,Albin Marine,28 TOURNAMENT,INBD,28,,10.0,,,FG,1,250.0,7500,Gasoline,,
178,4489,Sweden,Power,1994,Albin Marine,28 TOURNAMENT,INBD,28,,10.0,,,FG,1,210.0,7500,Diesel,,
179,4490,Sweden,Power,1994,Albin Marine,32 SEDAN,INBD,32,,12.25,,,FG,1,300.0,13500,Diesel,,
180,4491,Sweden,Power,1994,Albin Marine,32 SEDAN,INBD,32,,12.25,,,FG,2,250.0,13500,Gasoline,,
181,4492,Sweden,Power,1994,Albin Marine,32 SEDAN,INBD,32,,12.25,,,FG,2,300.0,13500,Diesel,,
